epoch,step,train_loss
0,49,0.06246695667505264
0,99,0.061906300485134125
1,149,0.056393008679151535
1,199,0.04814443737268448
2,249,0.05010434612631798
2,299,0.05089903250336647
3,349,0.05069436877965927
3,399,0.04570803418755531
4,449,0.04620657116174698
4,499,0.04639751464128494
5,549,0.04574176296591759
5,599,0.04280835762619972
6,649,0.042847082018852234
6,699,0.045057471841573715
7,749,0.04854913800954819
7,799,0.0429721362888813
8,849,0.047449320554733276
8,899,0.04364994540810585
9,949,0.045648302882909775
9,999,0.04419286921620369
