epoch,step,train_loss
0,49,0.048470672219991684
0,99,0.049116045236587524
1,149,0.04397091642022133
1,199,0.048198360949754715
2,249,0.046477582305669785
2,299,0.04618918150663376
3,349,0.05102633312344551
3,399,0.04532928392291069
4,449,0.04564305767416954
4,499,0.04718397185206413
5,549,0.04089827090501785
5,599,0.04734162986278534
6,649,0.04552093893289566
6,699,0.04532580077648163
7,749,0.04609658196568489
7,799,0.04331526532769203
8,849,0.04417424649000168
8,899,0.04141554608941078
9,949,0.04100503399968147
9,999,0.04208378493785858
10,1049,0.04691913723945618
10,1099,0.041103336960077286
11,1149,0.04206736385822296
11,1199,0.03993246331810951
12,1249,0.048144977539777756
12,1299,0.044050656259059906
13,1349,0.03901281952857971
13,1399,0.035996172577142715
14,1449,0.045071326196193695
14,1499,0.04453549161553383
15,1549,0.04420661926269531
15,1599,0.04432409629225731
16,1649,0.04300806298851967
16,1699,0.03585547208786011
17,1749,0.040049511939287186
17,1799,0.03937631845474243
18,1849,0.043664634227752686
18,1899,0.04604974389076233
19,1949,0.04515165090560913
19,1999,0.04390549287199974
20,2049,0.03920290246605873
20,2099,0.047478087246418
21,2149,0.037416018545627594
21,2199,0.03965902328491211
22,2249,0.0404144711792469
22,2299,0.04092925041913986
23,2349,0.03452564403414726
23,2399,0.03797528147697449
24,2449,0.03971581906080246
24,2499,0.04176567122340202
25,2549,0.04059794172644615
25,2599,0.03742355480790138
26,2649,0.04137061536312103
26,2699,0.04201515018939972
27,2749,0.04422246292233467
27,2799,0.04389072582125664
28,2849,0.04712064936757088
28,2899,0.037881989032030106
29,2949,0.03929899260401726
29,2999,0.038408420979976654
30,3049,0.03750556334853172
30,3099,0.04263613000512123
31,3149,0.042849473655223846
31,3199,0.04215744137763977
32,3249,0.039408523589372635
32,3299,0.03832502290606499
33,3349,0.040740612894296646
33,3399,0.03785126283764839
34,3449,0.039738018065690994
34,3499,0.04824397340416908
35,3549,0.03880719840526581
35,3599,0.03932977467775345
36,3649,0.038802795112133026
36,3699,0.041310831904411316
37,3749,0.04235197603702545
37,3799,0.03884907811880112
38,3849,0.044660840183496475
38,3899,0.04021178558468819
39,3949,0.04278019070625305
39,3999,0.03877721354365349
40,4049,0.03988777473568916
40,4099,0.038645632565021515
41,4149,0.04397363215684891
41,4199,0.04177999123930931
42,4249,0.03995232656598091
42,4299,0.04594135656952858
43,4349,0.04028889536857605
43,4399,0.03930208086967468
44,4449,0.03829038888216019
44,4499,0.03963441401720047
45,4549,0.03990946337580681
45,4599,0.03837170824408531
46,4649,0.04039184749126434
46,4699,0.035773053765296936
47,4749,0.04232815280556679
47,4799,0.038149334490299225
48,4849,0.04139377549290657
48,4899,0.04111733287572861
49,4949,0.03280674293637276
49,4999,0.03813599422574043
50,5049,0.03396717458963394
50,5099,0.03642335534095764
51,5149,0.04035211727023125
51,5199,0.039544880390167236
52,5249,0.0451219417154789
52,5299,0.034303728491067886
53,5349,0.0356590673327446
53,5399,0.03998158499598503
54,5449,0.0420665480196476
54,5499,0.036921389400959015
55,5549,0.03771160915493965
55,5599,0.03831632435321808
56,5649,0.039748404175043106
56,5699,0.035294562578201294
57,5749,0.04062144085764885
57,5799,0.03370347619056702
58,5849,0.04092412441968918
58,5899,0.044486891478300095
59,5949,0.03656310588121414
59,5999,0.04218209907412529
60,6049,0.036997679620981216
60,6099,0.04025431349873543
61,6149,0.04027751088142395
61,6199,0.044255174696445465
62,6249,0.039789147675037384
62,6299,0.03892134502530098
63,6349,0.03858983889222145
63,6399,0.04135718569159508
64,6449,0.036910440772771835
64,6499,0.038841620087623596
65,6549,0.04269367456436157
65,6599,0.04395235702395439
66,6649,0.04088578000664711
66,6699,0.043473053723573685
67,6749,0.03750057891011238
67,6799,0.036988239735364914
68,6849,0.04299011453986168
68,6899,0.03789714723825455
69,6949,0.03711424767971039
69,6999,0.03656574338674545
70,7049,0.0362386554479599
70,7099,0.03978879004716873
71,7149,0.04287993535399437
71,7199,0.035183846950531006
72,7249,0.039096981287002563
72,7299,0.040348730981349945
73,7349,0.03926719352602959
73,7399,0.04046519473195076
74,7449,0.03611850365996361
74,7499,0.037406910210847855
75,7549,0.036887556314468384
75,7599,0.0366482138633728
76,7649,0.039948299527168274
76,7699,0.0374419167637825
77,7749,0.038270991295576096
77,7799,0.03784685209393501
78,7849,0.03818228468298912
78,7899,0.0392015241086483
79,7949,0.0383986160159111
79,7999,0.03716948628425598
80,8049,0.034198589622974396
80,8099,0.03856858238577843
81,8149,0.043539490550756454
81,8199,0.03949987515807152
82,8249,0.04026501625776291
82,8299,0.03484316170215607
83,8349,0.03813746199011803
83,8399,0.03623737022280693
84,8449,0.038790393620729446
84,8499,0.04154135659337044
85,8549,0.039454225450754166
85,8599,0.03207898885011673
86,8649,0.04033050313591957
86,8699,0.03990143910050392
87,8749,0.04148749262094498
87,8799,0.03933178260922432
88,8849,0.03493710979819298
88,8899,0.03988669067621231
89,8949,0.036096423864364624
89,8999,0.03558375686407089
90,9049,0.04164198786020279
90,9099,0.03497428074479103
91,9149,0.03461904078722
91,9199,0.03552696108818054
92,9249,0.03798665478825569
92,9299,0.039062388241291046
93,9349,0.037160273641347885
93,9399,0.03546978905797005
94,9449,0.0373196080327034
94,9499,0.041776422411203384
95,9549,0.0361926443874836
95,9599,0.03710862994194031
96,9649,0.031551800668239594
96,9699,0.04166611284017563
97,9749,0.03891492262482643
97,9799,0.03924023360013962
98,9849,0.03530004248023033
98,9899,0.03984364494681358
99,9949,0.040051549673080444
99,9999,0.03168386220932007
